timestamp,datetime,fault_type,severity,cell_id,value,threshold,description
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,0,3.4999,2.5000,Group 0 V trending -3604.5 mV/s -> predicted -32.546 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,1,3.4911,2.5000,Group 1 V trending -3659.5 mV/s -> predicted -33.103 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,2,3.4557,2.5000,Group 2 V trending -3974.5 mV/s -> predicted -36.290 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,3,3.4852,2.5000,Group 3 V trending -3682.1 mV/s -> predicted -33.335 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,4,3.4766,2.5000,Group 4 V trending -3823.4 mV/s -> predicted -34.758 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,5,3.5172,2.5000,Group 5 V trending -2057.0 mV/s -> predicted -17.053 V in 10s (ETA 0.5s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,6,3.4943,2.5000,Group 6 V trending -3644.6 mV/s -> predicted -32.952 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,7,3.4680,2.5000,Group 7 V trending -3894.0 mV/s -> predicted -35.472 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,8,3.4663,2.5000,Group 8 V trending -3868.1 mV/s -> predicted -35.215 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,9,3.4799,2.5000,Group 9 V trending -3776.1 mV/s -> predicted -34.281 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,10,3.4874,2.5000,Group 10 V trending -3723.8 mV/s -> predicted -33.750 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,11,3.4451,2.5000,Group 11 V trending -4096.5 mV/s -> predicted -37.520 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,12,3.4526,2.5000,Group 12 V trending -4008.1 mV/s -> predicted -36.628 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,13,3.5094,2.5000,Group 13 V trending -3487.4 mV/s -> predicted -31.365 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,14,3.4932,2.5000,Group 14 V trending -3643.0 mV/s -> predicted -32.937 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,15,3.4814,2.5000,Group 15 V trending -3746.2 mV/s -> predicted -33.981 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,16,3.4550,2.5000,Group 16 V trending -3993.9 mV/s -> predicted -36.484 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,17,3.4960,2.5000,Group 17 V trending -3624.8 mV/s -> predicted -32.752 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,18,3.4942,2.5000,Group 18 V trending -3580.4 mV/s -> predicted -32.309 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,19,3.5171,2.5000,Group 19 V trending -3476.0 mV/s -> predicted -31.242 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,20,3.4941,2.5000,Group 20 V trending -3639.5 mV/s -> predicted -32.901 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,21,3.4929,2.5000,Group 21 V trending -3668.2 mV/s -> predicted -33.190 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,22,3.4832,2.5000,Group 22 V trending -3800.5 mV/s -> predicted -34.521 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,23,3.4816,2.5000,Group 23 V trending -3738.0 mV/s -> predicted -33.899 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,24,3.4953,2.5000,Group 24 V trending -3621.0 mV/s -> predicted -32.715 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,25,3.4692,2.5000,Group 25 V trending -3911.1 mV/s -> predicted -35.641 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,26,3.4714,2.5000,Group 26 V trending -3845.7 mV/s -> predicted -34.986 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,27,3.4448,2.5000,Group 27 V trending -4102.0 mV/s -> predicted -37.575 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,28,3.4883,2.5000,Group 28 V trending -3669.9 mV/s -> predicted -33.211 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,29,3.4902,2.5000,Group 29 V trending -3687.5 mV/s -> predicted -33.385 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,30,3.5005,2.5000,Group 30 V trending -3560.5 mV/s -> predicted -32.105 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,31,3.5039,2.5000,Group 31 V trending -3585.4 mV/s -> predicted -32.350 V in 10s (ETA 0.3s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,32,3.4496,2.5000,Group 32 V trending -4044.6 mV/s -> predicted -36.997 V in 10s (ETA 0.2s)
1773108364.136207,2026-03-09T22:06:04.136,PRED_UV,PREDICTIVE,33,3.4877,2.5000,Group 33 V trending -3726.5 mV/s -> predicted -33.777 V in 10s (ETA 0.3s)
